Metric,n,Mean,Median,Std Dev,Min,25%,75%,Max
Shots Faced,24,52.958333333333336,54.0,18.300580096927472,24.0,41.75,65.0,106.0
xG Faced,24,5.540980259079167,5.17521599885,2.4549941132032918,1.3801231105,3.86777786625,6.59625282705,10.490188488
Goals Conceded,24,4.916666666666667,5.0,2.282574188835104,1.0,3.75,6.0,9.0
Save %,24,71.8597671964545,73.50877192982455,10.301425861628104,47.05882352941176,64.82142857142857,77.77777777777779,93.33333333333331
Goals Prevented (GSaE),24,0.6243135924125,0.6763361778499999,1.6396982822837898,-3.164199376,-0.1808094283999999,2.04355426585,2.944792861
Sweeper Actions / Match,24,1.3182539682539682,1.225,0.840721952662816,0.25,0.7291666666666666,1.6875,3.6666666666666665
Claims / Match,24,0.6529761904761905,0.6666666666666666,0.462121488717221,0.0,0.3125,1.0,1.75
Punches / Match,24,0.7485119047619048,0.6666666666666666,0.48312589889304086,0.0,0.475,1.0625,2.0
Goal Kicks / Match,24,6.579265873015873,6.0,2.462537159744134,3.6,4.8125,7.625,11.75
Avg. Goal Kick Length (m),24,45.27534242207906,47.72481549166666,10.703891455002672,26.33013595882353,37.95133943214286,53.81632618276516,68.64854822727273
