gk_name,shots,goals_conceded,avg_goal_coverage_pct,avg_open_goal_pct,avg_shot_angle_deg
Kasper Schmeichel,42,3,0.3431,0.6569,24.98
Mike Maignan,50,2,0.3358,0.6642,23.07
Péter Gulácsi,38,5,0.3335,0.6665,23.55
Manuel Neuer,45,3,0.3255,0.6745,23.92
Fehmi Mert Günok,58,4,0.3237,0.6763,29.79
Thomas Strakosha,54,4,0.3206,0.6794,28.76
Giorgi Mamardashvili,106,8,0.312,0.688,26.46
Diogo Meireles Costa,52,2,0.3093,0.6907,19.26
Gianluigi Donnarumma,49,4,0.3086,0.6914,21.55
Jindřich Staněk,37,2,0.3064,0.6936,22.32
Florin Constantin Niţă,70,6,0.3046,0.6954,24.17
Koen Casteels,57,1,0.3039,0.6961,22.12
Dominik Livaković,38,6,0.3038,0.6962,27.74
Angus Gunn,44,6,0.3036,0.6964,21.6
Patrick Pentz,46,5,0.2991,0.7009,29.14
Wojciech Szczęsny,35,4,0.297,0.703,23.98
Jan Oblak,62,2,0.2959,0.7041,28.56
Jordan Pickford,74,6,0.2958,0.7042,24.83
Unai Simón Mendibil,64,3,0.2924,0.7076,28.22
Bart Verbruggen,64,5,0.2887,0.7113,24.51
Yann Sommer,60,4,0.2885,0.7115,28.25
Anatolii Trubin,26,1,0.2876,0.7124,19.44
Martin Dúbravka,53,4,0.2874,0.7126,27.16
Predrag Rajković,27,2,0.2621,0.7379,25.22
